"","prolific","X","age","sex","orient","ethnic","religion","location","SES","politics","HC1","HC2","HC3","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","RWA1","RWA2","RWA3","RWA4","RWA5","RWA6","RWA7","RWA8","RWA9","RWA10","RWA11","RWA12","SDO1","SDO2","SDO3","SDO4","SDO5","SDO6","SDO7","SDO8","SDO9","SDO10","SDO11","SDO12","SDO13","SDO14","SDO15","SDO16","BFI1","BFI2","BFI3","BFI4","BFI5","BFI6","BFI7","BFI8","BFI9","BFI10","BFI11","BFI12","BFI13","BFI14","BFI15","BFI16","BFI17","BFI18","BFI19","BFI20","BFI21","BFI22","BFI23","BFI24","BFI25","BFI26","BFI27","BFI28","BFI29","BFI30","BFI31","BFI32","BFI33","BFI34","BFI35","BFI36","BFI37","BFI38","BFI39","BFI40","BFI41","BFI42","BFI43","BFI44","Hcexp","X01","X02","X03","X04","X05","X06","X07","X08","X09","X10","index"
"19","59df29ec7f3d71000171d8ed",83,32,1,1,1,1,6,2,5,2,2,2,2,3,2,3,4,3,2,3,4,2,2,3,3,3,2,6,6,4,2,4,6,5,5,6,5,4,5,2,5,2,3,5,3,5,5,5,5,2,3,4,3,5,3,4,3,3,4,2,4,3,3,2,4,3,2,4,5,2,4,3,4,4,4,4,3,4,2,2,4,4,3,4,3,4,3,3,4,4,2,4,2,4,4,3,4,4,2,1,2,2,2,2,2,2,3,3,3,3,"115"
"20","59e4fe82e75b450001a69172",89,34,2,1,1,2,11,3,1,3,3,4,3,2,1,1,4,3,3,1,4,1,1,3,1,3,3,5,5,6,6,5,5,6,5,7,5,4,4,5,5,5,5,5,5,6,5,5,5,5,5,5,6,6,3,4,2,5,3,4,2,5,3,4,4,4,2,5,4,1,3,4,1,4,4,2,4,4,1,1,2,1,5,4,1,1,3,2,4,4,4,1,4,3,3,1,5,4,1,1,2,4,3,4,3,4,3,2,2,3,"67"
"21","59e74251d838ae0001850b6a",23,32,2,7,1,1,4,5,1,2,1,2,1,3,1,3,3,3,2,3,4,1,3,4,4,4,2,7,4,4,4,4,7,4,3,7,4,4,4,1,4,3,2,5,3,6,5,5,4,2,2,6,3,6,1,1,3,4,5,3,4,3,2,1,3,2,1,4,4,2,2,2,3,4,3,4,1,2,2,3,2,2,4,4,3,4,3,4,3,4,2,1,3,3,3,2,3,2,2,2,3,2,1,2,1,2,3,3,4,2,"132"
"22","59f8937f8a2d3d00012c17c6",137,42,2,1,1,1,4,3,1,2,1,2,1,5,2,2,4,4,2,2,3,2,3,4,4,3,2,7,4,3,6,6,7,4,7,4,7,6,7,1,5,2,3,5,2,7,7,7,7,3,2,7,1,7,2,4,3,5,2,4,3,4,2,3,4,3,2,5,3,4,4,4,2,4,4,2,4,1,3,3,4,2,3,3,4,2,4,4,3,4,4,2,4,2,3,3,4,2,2,1,2,2,2,4,2,1,2,2,3,2,"50"
"23","5a022e98728b1b0001ad8b6b",12,64,2,1,1,2,4,7,2,1,1,1,1,3,1,5,5,4,2,3,5,1,2,5,3,3,2,7,7,5,4,6,7,2,6,7,5,1,4,1,7,1,2,4,1,7,7,7,7,1,1,7,2,7,1,4,2,5,1,3,4,5,1,5,4,4,1,5,3,3,3,5,1,3,3,4,4,1,5,3,2,1,5,2,4,4,5,5,4,5,3,1,4,2,3,4,4,2,1,1,1,1,1,1,1,1,3,5,4,1,"112"
"24","5a08b4ad57cee700017670f1",93,27,2,1,1,1,7,3,1,3,2,2,2,2,1,5,5,3,5,5,4,2,4,4,5,5,4,7,7,4,4,6,7,4,4,4,4,4,3,1,7,3,1,7,1,7,7,7,7,7,1,7,1,7,1,4,5,5,1,3,2,5,1,1,5,3,3,5,5,5,4,5,4,5,3,3,5,1,3,3,3,5,5,5,4,4,5,5,3,5,4,2,3,5,2,5,5,5,5,1,2,3,1,2,2,3,3,5,5,2,"62"
"25","5a99c0e3b5e2110001c6c18a",86,35,2,1,1,1,3,2,1,2,2,2,2,3,2,3,4,4,1,1,4,2,3,4,3,3,2,7,7,4,4,6,7,7,4,7,4,4,6,1,7,1,1,7,1,7,7,7,7,1,1,4,1,7,1,3,3,4,3,4,3,5,1,2,4,3,4,4,4,4,4,3,3,5,5,4,2,2,2,3,2,3,4,4,3,3,4,4,3,4,2,2,4,3,3,3,3,3,2,1,2,3,1,3,2,2,3,3,3,2,"11"
"26","5aa8e2c6873cda00012d1f15",88,32,2,1,1,1,6,5,1,4,3,3,3,2,2,3,4,3,3,3,3,2,2,2,3,3,3,5,3,5,5,5,4,4,5,4,4,4,3,4,4,3,4,5,4,4,3,4,4,3,4,3,4,4,5,1,3,2,2,3,2,3,2,2,3,3,2,2,3,3,2,3,1,2,3,4,3,3,4,2,2,2,3,3,2,2,2,2,3,2,2,2,2,3,3,3,3,2,2,1,4,3,3,3,4,4,3,3,4,3,"32"
"27","5ab197738e12b40001ca322d",25,32,2,1,5,2,7,2,3,2,1,1,1,3,1,2,4,3,1,3,3,1,1,4,3,4,1,7,5,4,4,3,5,3,3,7,5,5,4,1,5,1,1,7,5,7,7,7,7,1,1,7,5,7,1,5,1,3,1,5,3,5,1,1,5,3,1,3,5,5,4,3,2,5,5,1,5,4,1,4,3,1,3,5,3,5,4,3,1,4,5,1,3,3,5,3,4,4,1,2,1,1,1,1,1,1,1,2,2,1,"53"
"28","5ab8d182e1546900019b7195",17,61,2,1,1,2,2,4,1,2,2,2,1,4,5,3,5,4,4,3,4,5,3,4,4,3,2,7,5,5,6,5,7,4,6,7,6,5,6,2,6,2,4,5,3,6,6,6,6,2,2,6,2,5,2,3,2,5,1,3,3,5,2,4,3,4,1,5,2,4,3,4,2,3,3,2,5,2,5,3,3,1,4,2,3,2,5,5,5,3,4,1,5,1,4,3,5,1,2,1,2,2,2,2,2,2,4,3,3,2,"131"
"29","5ab8ec735cd105000161a902",60,53,1,2,1,1,1,3,3,1,1,1,1,5,1,5,5,5,4,4,5,1,5,5,5,5,2,7,7,1,1,1,7,7,1,7,1,7,1,1,7,6,1,7,1,7,7,7,7,1,1,7,1,7,1,2,3,4,5,4,5,4,4,1,5,1,1,4,5,4,2,5,2,5,4,4,5,4,1,3,1,3,2,4,5,5,5,3,2,1,2,3,2,5,4,1,5,4,5,2,1,1,1,1,1,1,5,5,5,1,"104"
"30","5ac82835e734400001da5602",98,54,2,1,1,1,1,7,5,3,1,2,2,4,2,4,5,4,3,3,4,2,2,4,4,4,2,2,3,5,6,6,6,6,4,4,4,5,5,3,6,1,6,6,1,7,7,7,7,1,1,7,4,7,4,3,3,1,3,5,4,1,4,3,5,2,1,5,3,5,3,4,3,3,4,4,4,2,3,5,1,1,5,3,5,4,4,4,4,3,3,1,5,3,5,1,5,4,5,1,3,3,2,2,2,3,3,4,4,3,"58"
"31","5ac888369534ba0001c763e1",22,48,2,1,1,2,8,2,6,2,1,2,2,3,2,2,5,3,4,3,4,2,3,4,4,3,2,7,7,7,6,6,7,6,7,6,7,5,6,1,7,5,5,7,1,6,6,7,6,2,2,6,6,6,2,3,2,4,2,3,3,4,3,3,5,4,1,5,3,4,4,4,2,3,3,3,5,2,3,4,4,2,4,2,3,3,5,5,4,2,4,2,4,2,4,4,4,4,2,1,2,2,2,2,2,2,4,3,3,2,"54"
"32","5ad92773a77e0e0001c440eb",63,36,2,1,1,2,4,3,6,1,2,2,2,4,1,2,5,4,2,2,4,2,1,4,4,2,4,7,7,6,6,6,7,6,6,7,6,5,5,2,6,2,3,5,1,7,6,6,5,1,2,6,2,6,1,2,4,5,4,4,4,4,2,2,5,2,2,5,5,4,1,2,1,5,4,4,4,4,2,2,2,4,4,5,4,5,4,5,2,4,2,3,5,4,4,4,4,4,4,1,1,1,1,4,2,1,4,5,4,2,"43"
"33","5ae76ee9a740ff0001937dba",13,39,2,1,1,2,2,2,5,2,1,1,2,3,2,1,4,2,1,1,3,1,1,3,3,1,1,7,7,4,2,2,7,4,3,7,1,7,4,1,7,1,1,7,1,1,7,7,7,1,1,7,1,7,1,4,2,4,2,4,3,4,3,3,3,4,2,4,2,3,4,4,2,3,4,2,4,2,3,4,3,1,4,2,4,2,4,4,2,1,4,2,4,2,4,5,4,2,4,1,2,2,1,2,2,2,2,1,2,1,"44"
"34","5aeb0a7c798ae0000177b8e0",68,20,1,1,1,2,2,1,1,1,1,1,1,3,1,3,5,3,2,3,3,1,3,1,4,3,3,7,6,5,4,5,7,5,4,7,4,5,5,1,7,1,1,7,1,7,7,7,7,1,1,7,1,7,1,1,3,3,5,3,1,3,4,1,1,2,2,4,3,4,2,4,2,5,3,5,4,4,1,2,1,3,3,4,4,5,4,3,1,5,1,4,4,5,4,4,3,5,4,1,3,2,1,1,1,1,4,3,3,1,"118"
"35","5aeb0b3fc9bb680001c52869",34,28,2,4,1,1,4,3,1,3,1,3,2,4,1,3,5,4,3,3,4,3,3,3,3,3,2,7,7,1,4,4,7,7,4,7,4,6,2,4,7,3,3,6,3,5,7,7,7,3,4,7,4,7,3,2,3,3,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,5,5,4,4,3,5,3,4,3,4,5,5,4,4,4,4,2,3,3,4,4,2,4,5,4,1,1,2,2,2,2,1,4,4,4,2,"83"
"36","5af49a481b55800001f495bb",104,43,2,1,3,3,7,7,3,1,1,1,1,4,1,5,5,5,4,4,4,1,3,4,4,4,4,4,6,4,4,4,5,4,4,1,6,4,4,1,7,4,3,7,3,7,7,7,7,1,1,6,2,6,1,2,3,3,1,4,4,4,1,4,4,3,2,4,3,3,3,3,3,1,4,3,3,3,4,4,4,3,3,3,4,3,3,3,4,3,3,2,3,3,3,3,4,2,3,2,1,1,1,2,1,1,1,1,1,1,"39"
"37","5b0d3ce822a2aa0001777545",46,40,2,1,1,1,3,2,3,1,1,1,1,2,1,4,5,5,3,4,5,1,3,5,3,3,1,7,7,2,1,1,7,7,1,7,1,7,1,1,7,2,1,7,1,7,7,7,7,1,1,7,1,7,1,2,4,5,5,5,5,3,2,1,3,1,3,5,5,4,2,2,2,5,5,5,4,2,1,4,3,3,5,5,5,5,3,4,3,3,2,2,5,5,4,1,2,3,3,1,1,1,1,1,1,1,4,3,3,1,"106"
"38","5b29705c2bc7780001c23e7e",103,25,1,1,1,1,3,2,5,3,1,1,1,4,1,1,5,4,1,1,5,1,1,5,3,4,2,7,7,1,1,1,7,5,1,7,2,2,1,1,7,1,1,7,1,4,7,7,6,1,2,5,1,7,1,1,2,4,1,3,5,3,3,5,5,2,1,5,1,3,2,3,4,3,5,5,3,3,5,3,1,4,2,1,5,5,4,3,3,4,1,1,4,4,4,2,1,5,4,1,2,2,1,2,1,1,3,4,3,2,"66"
"39","5b48d7af390574000126e4ba",107,33,2,1,1,1,3,4,1,2,2,2,2,3,2,3,4,3,2,3,4,2,3,4,3,4,2,7,7,7,7,7,7,7,6,7,2,7,7,1,7,4,3,7,3,7,7,7,7,3,2,7,3,7,2,4,2,4,1,4,3,4,1,4,5,4,1,5,1,4,3,4,1,1,4,3,4,2,3,3,2,1,4,3,5,5,5,5,5,4,3,2,4,5,4,1,4,1,4,1,1,2,2,2,2,2,2,3,3,3,"108"
"40","5b4b8f5d369f840001130568",54,27,2,1,1,1,3,4,3,2,2,2,3,4,1,3,4,4,3,3,4,1,3,3,4,3,2,7,7,4,2,3,7,6,3,7,5,5,4,3,6,3,2,6,3,6,6,7,6,3,3,6,2,6,2,4,5,3,4,2,1,3,4,2,4,3,3,4,4,3,3,2,1,5,3,2,3,5,2,3,3,3,4,5,4,3,2,4,3,5,3,4,2,4,4,2,3,4,1,1,3,2,1,3,2,2,3,3,3,2,"123"
"41","5b4e039930e986000136ad12",97,25,2,1,1,1,10,5,5,2,1,2,1,3,1,5,5,4,3,5,5,1,4,3,5,5,2,7,7,5,3,5,7,7,3,7,4,7,5,3,5,1,1,7,2,5,7,7,6,7,6,3,4,6,2,5,3,5,2,4,4,3,2,2,5,3,2,4,3,5,3,3,3,5,5,3,1,4,2,4,3,2,5,4,3,4,4,5,3,5,3,3,3,5,4,3,5,4,2,1,1,1,1,1,1,1,4,4,4,3,"91"
"42","5b6f4c673abd820001d6f637",29,22,1,3,1,1,7,3,3,1,1,1,2,4,1,4,5,4,4,4,4,1,4,4,4,4,3,7,7,2,2,1,7,6,2,7,3,5,4,1,7,1,2,6,1,7,7,7,7,1,1,6,2,7,1,4,1,4,2,3,3,5,2,2,3,3,2,3,3,3,4,5,2,2,2,2,4,2,3,2,2,2,4,2,3,2,5,4,3,3,4,2,4,2,3,2,4,2,2,1,2,2,1,2,1,1,4,4,4,1,"107"
"43","5b754bacc0c9cc00011",18,63,2,1,1,2,6,2,5,2,1,2,1,3,1,1,5,1,1,1,2,1,2,1,5,5,3,7,4,1,1,1,7,6,7,7,7,7,7,2,6,1,4,6,1,7,7,7,7,1,1,7,1,7,1,5,1,5,1,4,3,5,3,5,5,4,1,5,3,5,5,5,1,5,5,3,5,1,4,5,3,1,5,3,5,4,5,4,5,5,5,1,3,4,4,4,4,3,5,1,2,4,2,4,2,4,4,4,2,3,"55"
