prolific,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10
5d12452f987a4700174937da,2,2,1,1,1,1,4,4,4,3
5b9d7801856d4f0001a213df,5,3,1,4,3,2,3,1,1,1
5ccd56865bcd080001841580,2,2,2,2,3,2,3,4,4,3
5b4e039930e986000136ad12,1,1,1,1,1,1,4,4,4,3
5c5d5fed13005e0001ab6e70,2,1,1,1,1,1,4,3,3,2
5cee720caf7838001999add2,3,2,2,2,2,2,3,3,3,3
5d04f91d0b54cc0017dad1b7,1,1,1,1,1,1,5,5,5,1
5c890ff526db6700151f24cb,3,4,1,2,4,2,3,2,3,2
5c7093155ba5060001ce5f1a,2,2,1,1,1,2,3,5,4,1
5cb8ecb325b2a000160bea4b,2,2,2,3,2,2,2,4,4,3
5cbc467501a76900151690ed,2,2,2,2,1,2,3,3,3,2
5c77f6c9e62652000156ecd3,5,5,3,3,5,5,3,4,1,5
5c30bf4726d1c6000195f30d,1,1,1,2,1,1,5,5,4,1
5c0fc9239cd2dd00018e06c9,2,1,1,1,1,2,4,3,4,3
5c55a56ae66e510001ee791d,4,2,2,3,3,3,2,2,3,2
5cdbc5aecc071e001a1cc02f,5,2,1,2,1,4,3,5,4,2
5ab8ec735cd105000161a902,1,1,1,1,1,1,5,5,5,1
5985c28e73278100014b2f7d,3,1,1,1,1,1,5,5,5,1
5b0d3ce822a2aa0001777545,1,1,1,1,1,1,4,3,3,1
5b6f4c673abd820001d6f637,2,2,1,2,1,1,4,4,4,1
5b48d7af390574000126e4ba,1,2,2,2,2,2,2,3,3,3
5b798bd4ae3bc00001387d4c,4,3,3,3,2,3,3,3,2,2
5c3db5a6ea50eb0001759fc4,1,1,1,2,1,1,2,2,2,1
5ced1fa61a1bab00019da38b,2,2,1,1,1,1,3,4,4,1
5a022e98728b1b0001ad8b6b,1,1,1,1,1,1,3,5,4,1
5c2bac1e8c234c00018b889e,3,2,2,4,2,2,4,5,4,3
5689916dd3d6a7000aa1cbf0,2,2,1,3,2,2,4,3,3,1
59df29ec7f3d71000171d8ed,2,2,2,2,2,2,3,3,3,3
5d0d08285643a6001503c3a0,2,2,1,2,1,1,4,2,2,2
5d132f5be52fb6001bfead6a,2,1,1,2,1,1,2,5,5,3
5aeb0a7c798ae0000177b8e0,3,2,1,1,1,1,4,3,3,1
5d050ad114af760017e2e20e,1,1,1,1,1,1,5,3,3,1
5c7b05b2396b890010d98956,3,4,2,3,2,3,4,4,4,4
5d0b2b0c1a137600017ec5ba,1,1,1,2,1,1,5,5,4,1
5cd6d97231d19f0019425948,2,2,1,1,1,1,3,2,4,2
5b4b8f5d369f840001130568,3,2,1,3,2,2,3,3,3,2
5cf057c49a84ff0001ab1ff7,2,4,2,1,3,2,3,1,2,4
5d1567f2a69a620001adaef0,4,4,2,3,3,4,4,3,3,2
5c7061ca9d788e0001b2d270,3,1,1,1,1,1,4,3,3,1
5d15d498aa676d001a8985bb,4,4,3,4,4,2,3,2,2,4
5d0ff7e4ee28980015f19ff2,2,2,1,1,1,1,3,4,4,1
5d124464019fa6000162bfdb,2,2,2,2,2,3,4,4,4,2
5979c3e92ef10300019af054,2,2,2,2,2,2,3,3,3,2
5ab8d182e1546900019b7195,2,2,2,2,2,2,4,3,3,2
59e74251d838ae0001850b6a,3,2,1,2,1,2,3,3,4,2
598cc83f8f6271000186b0bc,1,1,1,1,1,1,4,5,4,1
5c2d5d3a5005b60001ad0cf5,1,1,1,1,1,1,5,5,5,1
5d15f4962fe3fd00015fa848,2,4,3,3,3,4,4,2,3,3
5c9885b4e740170019cb7f50,4,4,4,5,5,4,1,1,1,4
5d167abaac37cd00155343b1,2,3,1,1,1,2,3,4,4,3
59ac6cfd2d73c00001e5c983,1,2,1,2,1,1,1,5,5,1
