sona,age,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Q11_16,Q11_17,Q11_18,Q11_19,Q11_20,Q11_21,Q11_22,Q11_23,Q11_24,Q11_25,Q11_26,Q11_27,Q11_28,Q11_29,Q11_30,Q11_31,Q11_32,Q11_33,Q11_34,Q11_35,Q11_36,Q11_37,Q11_38,Q11_39,Q11_40,Q11_41,Q11_42,Q11_43,Q11_44,Q11_45,Q11_46
20619,20,1,5,1,4,1,1,1,1,3,1,1,1,1,3,3,3,4,3,2,3,2,3,4,3,4,3,3,1,3,4,3,1,4,1,4,3,4,2,1,1,2,3,2,1,3,3
20797,19,1,5,1,2,1,1,2,1,4,1,1,1,2,5,3,4,3,4,4,2,2,2,4,3,4,2,2,2,3,4,1,2,1,2,3,3,3,4,2,2,3,3,2,2,2,2
20838,22,2,4,1,3,3,2,1,1,2,1,2,1,4,4,2,3,3,3,4,2,2,3,4,3,3,3,2,2,3,4,2,2,1,2,4,3,4,3,1,2,3,2,2,1,1,2
21629,18,2,4,1,4,1,2,1,1,3,1,2,1,3,1,3,4,4,3,4,2,4,3,4,3,3,4,3,2,4,5,2,2,2,2,4,4,4,4,2,2,4,2,2,1,2,2
20896,19,2,5,2,4,3,2,2,2,3,1,1,1,3,4,3,2,3,3,3,2,2,3,4,2,3,3,1,2,3,3,2,2,1,1,3,2,3,3,2,2,3,2,2,2,1,2
20816,20,2,5,1,1,1,1,1,1,4,1,2,1,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,1,4,2,1,1,2,1,1,4,4,4,4,2,2,3,3,3,2,4
20784,19,1,4,1,2,3,1,1,1,3,1,1,1,4,5,4,4,4,4,4,2,2,4,4,3,4,4,3,1,4,4,2,3,2,4,4,4,4,4,2,2,3,3,3,2,2,2
,20,4,4,2,3,4,4,2,2,1,2,4,2,2,4,3,3,4,3,2,4,4,3,4,1,3,2,2,2,2,4,2,4,2,2,3,2,4,2,2,4,4,3,4,2,3,3
20821,20,2,4,1,3,2,2,1,1,3,1,2,1,2,4,4,2,2,4,4,3,2,3,3,2,4,3,2,2,3,4,2,2,2,1,3,4,5,4,2,2,3,2,2,2,2,3
21479,22,1,4,1,2,1,2,2,1,3,2,1,1,3,4,4,2,4,2,4,2,2,3,4,3,2,4,3,1,3,5,1,2,1,1,5,4,4,4,1,1,2,1,1,1,1,1
21436,18,2,5,1,5,1,1,1,1,2,1,1,1,2,5,3,3,3,5,4,1,2,3,5,1,5,3,3,2,5,4,1,2,1,5,4,5,5,3,1,2,3,1,2,1,1,2
21603,18,1,5,1,4,2,1,1,1,3,1,2,1,3,5,3,4,4,4,4,1,2,4,4,3,4,4,3,1,4,5,1,1,1,1,4,4,4,4,1,1,4,1,1,1,1,2
21635,20,1,5,1,3,2,1,1,1,2,1,2,1,3,5,4,4,3,4,5,1,1,5,5,3,3,5,3,1,5,5,1,1,1,1,4,4,5,5,1,1,3,1,1,1,1,1
20723,19,1,5,1,2,1,1,1,1,3,1,1,1,4,4,4,2,5,3,4,2,1,4,5,1,3,4,3,1,4,5,1,1,1,1,4,4,5,5,1,1,2,1,1,1,1,1
21450,19,1,5,1,4,1,1,1,1,2,3,3,1,2,5,4,3,3,4,4,2,2,4,4,2,4,2,2,3,4,5,2,1,1,5,4,4,5,4,2,1,4,1,1,1,5,1
20705,30,2,5,1,4,1,1,1,1,2,1,1,1,5,5,4,2,5,2,4,2,2,5,5,2,4,5,4,1,5,5,1,2,2,1,4,5,5,4,1,1,4,4,1,1,2,2
21401,18,3,4,2,5,3,1,1,1,3,1,3,1,3,5,4,2,3,4,4,1,4,4,5,3,4,4,2,2,4,4,2,1,2,2,3,4,4,3,1,1,3,2,1,1,3,3
20740,21,4,4,1,2,1,2,1,1,1,1,2,1,2,5,4,2,4,3,4,3,2,4,4,4,3,3,3,2,3,5,1,3,1,1,3,4,5,4,1,2,2,1,2,1,1,2
,18,2,4,2,4,3,2,1,1,2,2,3,1,2,4,4,3,4,3,3,3,1,5,4,3,2,4,4,2,4,4,2,3,2,2,4,2,2,3,1,2,3,2,2,1,5,3
21590,19,1,5,1,2,2,2,1,1,2,1,2,1,2,5,4,3,4,4,4,2,2,4,5,2,4,4,3,1,5,4,2,2,2,2,4,4,5,4,1,1,4,2,2,1,1,2
20706,20,3,5,5,4,4,4,3,3,1,1,4,3,2,3,4,3,4,4,3,4,2,4,5,3,4,4,3,2,3,4,2,3,4,2,3,3,4,3,3,4,4,3,3,2,2,3
21547,25,1,5,1,5,1,1,1,1,4,1,1,1,1,5,5,4,5,4,5,1,1,5,5,3,4,5,3,1,5,5,1,1,1,3,5,4,5,5,1,1,4,3,2,1,5,2
20774,20,2,4,2,3,2,1,1,1,2,2,2,1,2,4,4,2,4,4,3,2,2,4,4,3,3,4,2,2,4,4,1,2,2,2,3,3,4,4,1,2,2,2,3,2,2,2
20696,21,1,4,2,4,2,2,1,1,2,1,2,1,3,5,4,2,4,4,4,3,4,3,4,2,4,3,3,1,3,4,1,1,3,1,3,3,4,3,1,1,2,1,2,1,3,2
20669,19,2,4,2,2,2,2,2,2,1,1,2,2,2,2,1,3,4,2,2,2,2,4,4,2,2,4,2,1,4,4,3,2,1,2,4,4,4,4,2,2,2,2,2,2,2,3
19567,25,1,5,1,4,1,1,1,1,1,1,1,1,1,5,1,3,4,3,2,2,1,2,5,1,4,2,1,1,1,5,1,1,1,1,1,2,5,2,1,1,1,1,1,1,1,1
20889,20,2,4,1,3,2,2,1,1,4,1,2,1,1,5,3,3,3,4,4,4,2,4,5,3,2,4,2,1,4,3,2,2,1,1,4,3,4,3,2,3,4,2,3,1,5,2
20684,20,3,4,5,4,2,2,2,2,3,2,2,2,3,4,4,4,3,4,4,3,2,4,5,3,4,4,3,2,4,4,2,2,1,1,3,4,4,3,3,2,4,1,2,2,2,3
20812,19,2,4,2,4,1,1,1,1,4,1,2,1,2,5,3,2,4,4,3,2,2,3,5,4,4,3,2,1,3,5,2,1,1,1,1,3,5,3,1,2,4,1,1,1,1,1
21392,19,2,4,1,3,2,2,1,1,3,1,2,1,2,4,3,2,3,4,4,2,4,4,5,3,4,4,4,2,4,4,2,2,1,2,3,3,4,4,2,2,4,2,2,2,4,2
20625,38,3,5,1,2,2,2,2,2,2,1,2,2,2,3,2,3,3,1,2,3,3,4,5,2,2,2,1,2,2,4,3,3,2,3,2,3,4,2,2,3,1,2,3,2,3,3
21389,28,2,5,1,4,2,1,1,1,5,1,1,1,3,5,4,3,4,5,5,2,2,5,5,2,5,4,3,1,5,4,2,1,1,1,5,5,4,5,1,1,3,1,1,1,5,2
20819,19,2,5,1,4,4,2,1,1,2,3,4,1,2,5,4,3,4,4,2,2,2,2,5,3,4,2,2,1,2,4,2,3,1,1,3,3,5,2,1,1,4,1,3,1,3,4
21595,37,1,5,1,3,2,2,2,2,3,2,2,2,5,5,3,3,4,3,5,2,2,4,4,3,2,5,3,3,5,3,2,2,2,2,4,5,3,5,2,2,3,2,2,2,2,1
20846,51,2,5,1,3,3,3,4,4,1,4,4,4,2,3,3,3,3,3,2,3,3,3,4,3,3,3,3,1,2,3,2,3,1,1,2,3,3,3,4,3,1,3,3,2,2,2
21488,28,2,4,1,3,2,2,1,1,1,1,2,2,3,3,4,3,3,4,2,2,2,3,5,1,3,3,2,1,3,5,1,3,3,1,3,3,4,3,2,1,3,1,1,1,3,1
21596,21,1,5,1,3,2,2,1,1,2,1,2,1,3,4,2,3,3,4,4,2,2,3,4,3,4,3,2,1,3,5,2,2,2,1,3,4,4,4,1,1,4,2,2,2,2,2
21626,19,2,5,2,3,3,1,1,1,4,3,3,4,4,2,2,3,4,4,5,3,4,5,5,4,3,5,4,2,4,2,1,3,2,2,4,4,2,4,2,2,4,2,2,3,3,2
21502,18,1,5,2,4,3,1,2,2,2,2,4,2,3,4,2,3,4,4,4,2,2,4,5,2,4,4,3,2,4,5,2,2,1,2,4,4,4,4,2,2,3,2,3,2,1,2
21462,18,1,4,1,3,2,1,1,1,1,1,1,1,2,4,3,3,3,3,4,2,1,3,5,2,3,2,1,1,2,4,1,1,1,1,3,3,4,3,1,1,3,1,1,1,3,1
21550,20,3,3,1,4,1,3,2,1,3,1,1,1,2,5,4,3,3,3,4,3,4,3,4,3,4,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
21571,19,2,4,3,3,3,2,3,2,1,1,3,1,2,4,4,3,2,4,2,2,3,3,4,2,4,2,2,2,3,3,1,3,4,3,3,2,2,3,2,2,3,3,2,2,2,3
21459,20,1,5,1,3,2,1,1,1,2,1,2,1,3,5,2,2,3,4,4,1,2,4,5,3,4,4,2,1,4,5,1,1,1,1,3,4,4,4,1,1,2,1,2,1,2,2
20707,20,1,5,1,2,3,2,1,1,1,1,3,1,1,5,3,1,2,5,2,2,3,3,4,3,4,3,3,1,3,4,1,1,1,1,1,1,3,2,1,1,1,1,1,1,2,4
,20,3,3,1,4,3,4,4,3,3,3,4,4,3,4,3,4,3,3,4,3,3,4,3,4,4,3,3,3,3,4,3,4,3,3,3,4,4,4,3,4,4,3,3,3,3,1
21467,18,2,5,2,1,2,2,2,1,1,3,2,1,2,4,4,2,1,5,4,2,1,4,4,2,2,2,1,1,2,4,1,2,1,2,2,2,4,1,1,2,2,2,2,1,1,2
20813,19,2,5,1,3,2,2,3,3,2,2,2,3,2,3,4,3,3,2,3,2,3,3,5,3,3,3,3,2,3,4,1,2,3,1,3,3,4,3,1,1,3,2,2,1,3,3
21519,19,3,4,2,4,3,3,2,2,4,2,2,2,3,4,3,4,3,4,4,3,3,4,4,2,4,4,3,2,4,3,2,3,2,3,3,3,3,4,2,3,3,2,2,3,3,2
21400,20,1,5,1,3,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,1,3,1,5,1,3,1,1,1,2,3,1,1,1,1,1,3,3,1,1,1,1,1,1,1,5,2
21536,18,3,4,1,3,2,2,1,1,2,3,2,1,3,4,3,3,4,2,4,2,2,4,4,3,2,4,3,2,4,4,1,2,1,1,3,4,4,4,2,2,4,2,2,2,2,2
21619,18,3,5,1,4,2,2,1,1,3,1,2,1,4,4,4,2,3,5,5,3,2,5,4,2,5,4,4,2,5,4,1,3,2,1,4,4,5,4,1,2,3,2,2,1,3,2
21559,18,3,5,1,4,1,3,2,2,4,1,2,2,3,4,4,3,4,4,4,3,4,4,5,3,4,4,3,2,3,4,2,3,3,2,3,3,4,4,2,2,3,2,2,2,2,2
21469,21,2,5,1,4,1,2,3,2,1,1,2,2,2,4,5,3,4,5,4,3,2,4,5,3,3,4,1,1,4,4,1,2,1,1,4,4,5,4,1,2,4,5,2,2,1,1
20666,20,3,4,1,4,2,3,2,2,3,2,3,2,3,4,4,3,4,4,4,3,4,3,4,3,4,3,3,2,3,4,2,3,2,2,4,3,4,3,2,3,4,2,3,2,4,4
20810,21,1,4,1,3,1,1,1,1,2,1,1,1,4,5,3,3,3,3,4,1,3,4,4,3,3,4,4,1,4,4,3,1,3,1,5,5,3,5,1,1,4,1,1,1,1,3
20689,30,3,5,1,2,4,2,2,2,3,1,3,4,3,4,1,3,3,2,4,2,3,4,5,3,2,4,4,2,4,4,1,4,2,2,3,4,3,4,2,2,4,2,2,2,3,2
20631,20,2,5,1,4,2,2,1,1,2,1,2,2,2,4,3,3,4,4,4,2,2,4,4,2,4,4,2,1,4,4,1,2,1,2,3,4,4,2,2,2,3,2,3,1,4,3
20855,19,2,5,1,3,2,2,1,1,2,2,1,1,2,4,3,3,4,2,2,2,2,2,4,2,3,2,1,2,2,3,2,1,1,2,3,3,2,3,1,1,2,2,2,2,2,3
20694,40,1,4,1,3,2,2,2,2,2,1,3,2,3,4,3,3,3,3,2,1,2,3,4,2,3,3,3,2,3,4,3,3,2,1,3,3,4,3,3,2,2,3,3,2,2,3
21420,20,2,5,1,3,1,4,1,1,3,2,2,1,3,1,4,3,4,2,2,3,2,2,4,2,2,2,2,2,2,3,2,3,4,2,4,3,4,3,1,2,4,2,3,1,3,2
21587,18,1,4,1,3,2,2,1,2,2,3,4,2,2,5,4,5,3,4,2,3,2,4,5,2,2,2,3,2,4,5,2,3,2,5,2,4,4,3,1,1,2,2,2,1,2,1
20773,19,1,5,1,4,2,1,1,1,3,1,2,1,3,4,4,2,4,3,4,1,2,4,5,3,3,4,3,1,3,4,1,1,2,2,3,4,4,3,1,1,3,1,1,1,3,2
20690,20,1,5,1,2,2,1,1,1,3,1,2,1,3,5,4,3,4,4,5,1,2,5,4,1,3,3,3,1,3,5,2,1,1,3,3,4,5,3,1,1,3,1,1,1,1,3
20808,21,1,2,3,1,3,2,2,2,2,3,1,3,1,2,1,3,1,3,2,2,1,3,3,1,2,1,3,1,3,2,2,2,1,1,3,3,1,2,2,2,3,2,3,3,2,2
21566,18,4,4,1,4,3,3,1,1,2,1,3,1,3,4,4,3,3,4,3,2,1,3,5,1,4,3,3,2,3,4,1,3,1,1,4,3,4,3,1,2,2,1,1,1,1,2
20705,30,2,5,1,4,1,2,1,1,4,1,1,1,4,5,3,3,4,4,4,2,1,4,5,4,4,4,4,1,4,5,1,2,1,1,4,5,5,4,1,1,4,4,1,1,2,1
21488,28,2,4,1,3,2,2,1,1,3,1,2,2,3,4,3,3,5,3,3,1,2,3,5,3,3,3,3,1,3,4,1,1,3,1,3,3,5,3,1,2,3,3,1,1,3,1
21617,40,2,5,3,4,3,2,2,3,1,3,3,2,2,4,5,3,3,3,4,2,3,3,5,3,3,3,3,2,3,2,1,3,2,3,4,4,4,4,3,2,4,3,3,3,2,2
20894,20,1,5,1,4,1,1,1,1,3,1,2,1,3,5,4,3,5,4,3,1,1,3,5,1,4,4,2,1,3,4,1,1,3,1,4,4,5,4,1,1,3,1,1,1,3,2
21485,18,1,5,1,2,1,1,1,1,3,1,1,1,3,5,4,3,4,3,4,1,2,3,5,3,3,3,3,1,3,4,1,1,1,1,3,4,4,3,1,1,3,1,1,1,1,1
21591,20,1,4,1,4,2,1,2,2,3,1,1,1,3,4,4,4,4,4,4,1,1,4,4,3,4,4,4,2,3,4,1,1,1,1,4,4,4,4,1,1,5,1,1,1,1,2
21613,18,2,4,1,3,2,2,1,1,2,1,2,1,2,4,3,3,4,2,3,2,2,3,4,2,3,4,2,2,4,4,2,2,2,2,3,4,4,3,2,2,2,2,2,2,2,2
21536,18,1,4,2,3,2,2,2,2,3,2,2,2,3,4,3,3,4,2,4,2,2,4,4,3,3,4,3,2,4,4,2,2,1,1,3,4,4,4,2,2,3,2,2,2,2,2
20877,19,1,5,1,4,3,3,1,1,4,1,3,1,4,5,3,3,2,4,4,5,3,4,5,2,3,4,2,1,4,4,1,2,2,1,4,3,5,5,1,1,5,1,1,1,1,3
20839,19,3,4,3,4,3,3,2,2,2,2,3,2,2,4,4,3,4,4,3,3,2,4,4,2,4,4,2,3,4,4,3,3,2,2,3,4,4,3,2,3,3,2,3,2,3,3
20800,19,2,5,1,4,2,1,1,1,2,1,2,1,3,4,4,2,2,4,4,2,2,4,5,2,4,4,1,1,4,4,2,1,1,1,4,4,4,3,1,1,4,2,2,1,3,1
20795,19,1,5,1,4,4,1,1,1,2,1,1,1,3,5,4,3,3,4,4,1,1,3,5,2,4,3,5,1,4,4,1,1,1,1,3,4,5,4,1,1,3,1,1,1,1,1
21533,19,2,5,1,4,2,3,1,1,2,2,2,2,3,4,4,3,2,2,3,3,2,4,3,2,3,2,2,3,4,3,1,2,3,4,2,4,1,5,2,3,4,2,3,2,3,1
21532,20,2,5,1,3,3,2,1,1,3,1,2,1,4,5,4,2,4,4,4,2,2,4,5,2,4,4,2,1,4,4,2,1,1,1,4,4,4,4,1,4,4,2,2,1,1,3
20841,20,1,4,1,2,2,2,1,1,4,2,2,2,2,2,3,3,3,3,4,1,3,4,1,2,1,1,1,1,4,2,1,1,2,2,5,2,3,4,1,1,1,1,1,1,1,1
21407,18,2,5,1,2,2,2,1,1,3,1,2,1,3,5,3,4,4,3,4,2,2,3,4,2,4,4,2,1,3,4,2,2,1,1,3,4,4,4,2,2,5,1,1,1,3,3
20780,21,2,4,1,4,2,3,1,1,3,1,3,1,2,5,4,3,4,4,3,3,2,3,5,1,3,3,3,2,3,5,2,4,1,1,4,3,5,3,2,3,2,1,3,1,3,4
20658,21,3,3,2,2,4,4,4,4,2,3,4,4,2,2,3,4,3,1,1,5,3,2,2,3,2,2,2,2,2,2,4,3,3,3,3,2,3,4,3,4,3,4,5,3,3,2
20850,20,3,4,1,2,4,2,1,1,1,3,1,1,2,5,2,3,3,2,4,2,1,4,4,1,1,4,1,1,4,4,1,1,1,1,3,4,2,4,1,1,1,1,1,1,1,1
21425,18,2,5,1,3,2,3,1,1,1,2,3,1,3,5,2,3,2,4,4,3,2,4,5,3,3,4,2,2,4,4,3,4,2,4,3,4,4,4,2,3,3,4,3,2,1,4
21543,19,1,5,1,3,2,1,1,1,3,1,1,1,2,5,2,4,2,2,3,2,3,4,4,4,2,3,3,1,3,5,1,1,2,1,5,2,3,2,1,1,4,1,2,1,1,1
20834,21,1,5,1,4,1,1,1,1,4,1,1,1,4,5,4,3,4,4,4,1,4,5,5,4,4,4,4,1,5,5,1,1,1,1,5,5,5,5,1,1,4,1,1,1,1,1
20836,20,1,3,2,4,2,2,2,2,3,1,1,2,1,4,4,3,3,5,5,2,2,1,2,2,3,3,1,2,2,4,1,2,1,2,3,3,4,3,2,2,4,1,2,1,1,2
21460,19,3,5,1,3,1,2,1,1,3,2,1,1,4,4,4,2,4,3,4,3,4,4,4,4,3,4,2,1,4,3,2,3,1,1,4,3,3,4,1,2,3,2,1,1,2,2
20682,19,2,5,1,4,2,1,1,1,2,2,2,1,3,4,3,2,4,4,4,1,1,4,4,3,3,4,3,1,4,5,2,1,1,1,3,4,2,3,2,1,2,1,1,1,1,4
20735,20,1,5,1,4,1,1,1,1,3,1,1,1,5,5,3,4,5,4,4,1,1,5,5,3,5,5,5,1,5,5,1,1,1,1,5,5,5,5,1,1,4,1,1,1,1,1
20735,20,1,5,1,5,1,1,1,1,3,1,1,1,5,5,3,4,5,4,5,1,1,5,5,3,5,5,5,1,5,5,1,1,1,1,5,5,5,5,1,1,4,1,1,1,1,1
20764,20,1,5,1,4,1,2,1,1,3,1,1,1,4,5,4,3,4,4,5,2,3,4,5,3,4,4,4,1,4,5,2,1,1,1,4,5,5,5,1,1,4,1,1,1,1,3
21542,19,4,5,2,4,3,3,1,1,2,1,2,1,3,5,4,3,5,4,4,4,2,3,4,2,4,3,1,1,4,5,1,4,1,2,2,3,5,4,2,3,2,2,2,1,3,2
20814,20,2,4,2,3,2,2,1,1,2,1,2,1,3,4,4,2,4,4,4,2,2,3,4,3,4,4,2,1,3,4,1,2,3,1,4,3,4,3,2,2,4,2,2,1,2,1
21580,18,1,5,1,4,2,1,1,1,3,1,2,1,2,5,4,3,4,4,4,2,2,4,4,2,4,4,3,2,4,4,1,2,1,2,4,4,3,4,1,1,4,1,2,1,1,2
20674,20,2,4,2,3,2,2,1,1,1,1,1,1,1,5,4,4,3,3,4,2,5,4,4,4,3,3,1,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
19721,21,2,5,1,3,5,1,1,1,1,3,5,1,1,5,2,3,4,4,1,1,5,1,5,1,1,1,1,1,1,5,4,1,5,1,1,1,4,1,2,2,1,1,1,1,1,4
21483,19,3,2,4,2,3,2,3,3,1,1,1,3,2,3,2,2,2,2,2,2,2,1,4,2,2,1,1,1,1,3,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,3
21430,35,1,5,1,4,1,4,1,2,3,1,1,1,3,5,5,5,5,5,4,2,5,3,5,2,5,4,3,1,3,5,1,1,1,1,4,3,5,2,1,1,2,1,1,1,1,2
21610,18,3,4,2,3,2,4,2,2,2,2,3,2,3,4,2,3,3,4,4,5,3,3,4,2,2,3,3,2,4,2,2,3,2,1,4,3,4,4,3,3,2,3,4,2,5,3
21516,24,2,4,4,5,1,3,2,2,2,2,3,3,3,4,3,3,4,4,2,3,2,1,4,4,4,2,2,2,2,3,2,5,1,1,3,3,5,2,1,4,4,2,3,2,1,4
21551,19,3,4,4,3,3,2,3,5,4,1,3,5,4,3,5,1,4,5,4,2,3,5,5,3,4,5,2,1,5,3,2,3,1,2,3,3,5,2,3,4,1,2,2,2,4,1
21472,19,1,5,1,2,1,1,1,1,3,1,1,1,4,5,4,4,4,4,4,2,2,5,5,3,4,5,3,1,4,5,1,1,1,1,4,4,5,4,1,1,4,1,1,1,5,3
20849,20,3,4,2,4,1,2,2,2,2,2,2,2,2,4,4,3,4,4,4,2,2,3,4,2,3,3,3,2,3,4,1,4,2,2,4,3,4,3,2,2,2,2,2,2,4,3
21565,18,1,5,1,4,2,2,1,1,4,1,3,1,4,5,4,3,4,3,4,2,2,3,5,3,4,3,3,1,3,5,1,1,1,1,4,4,4,4,1,1,4,1,1,1,1,1
20664,19,1,5,1,2,1,1,1,1,2,1,1,1,3,5,3,1,3,3,4,1,1,5,5,3,2,5,1,1,5,2,1,1,1,1,3,4,4,4,1,2,2,1,1,1,1,1
20675,21,1,5,1,3,1,1,1,1,4,1,1,1,3,5,4,4,2,4,4,1,4,4,5,3,4,4,3,1,5,4,1,1,1,1,4,5,4,5,1,1,3,1,1,1,5,2
